,Cloudiness,Humidity,Lat,Lng,Temp,Wind Speed
0,75,97,39.31,-74.98,76.75,8.41
1,8,95,14.42,6.04,69.65,3.04
2,0,23,27.87,-0.29,86.0,9.17
3,92,81,-46.19,168.86,48.68,11.32
4,40,63,-42.88,147.33,55.4,5.82
5,20,88,-54.81,-68.31,35.6,17.58
6,0,55,44.99,124.06,76.67,18.25
7,76,41,-20.63,-46.0,76.76,9.19
8,20,74,17.54,120.52,87.8,6.93
9,40,88,10.47,-66.54,78.8,3.36
10,44,100,15.86,-97.07,85.13,0.13
11,75,93,-33.93,18.42,53.6,8.05
12,40,81,42.65,-73.75,71.24,9.17
13,88,98,70.62,147.9,40.13,4.94
14,44,83,33.24,119.31,87.56,9.75
15,75,75,62.45,-114.38,46.4,2.24
16,90,87,48.42,-122.33,60.4,6.93
17,20,100,-33.21,138.6,49.04,5.95
18,76,91,68.71,-52.87,42.2,13.22
19,32,100,-34.42,19.24,44.9,3.6
20,0,30,-23.53,148.16,80.18,8.97
21,92,81,60.91,-46.05,42.8,16.11
22,12,73,71.98,102.47,38.33,15.79
23,20,87,22.08,-159.32,77.92,9.17
24,75,80,78.22,15.63,41.0,9.17
25,20,65,-53.16,-70.91,41.0,31.09
26,1,16,39.61,-119.25,75.18,9.17
27,75,87,47.66,-52.73,57.2,12.75
28,92,92,69.7,170.27,45.98,8.97
29,0,25,-23.58,149.07,80.63,9.19
30,75,76,-23.65,-70.4,55.4,3.36
31,12,100,-3.31,129.0,80.99,9.75
32,75,74,19.71,-155.08,71.58,3.36
33,0,60,-27.37,-70.33,48.77,6.62
34,20,94,10.24,-61.45,77.0,4.38
35,36,64,62.1,126.7,46.97,5.39
36,0,100,-9.8,-139.03,79.46,13.22
37,8,84,-2.92,-39.92,77.21,16.02
38,80,94,8.96,38.73,52.91,2.71
39,68,95,68.05,39.51,51.74,13.22
40,0,58,45.6,-0.6,57.02,4.7
41,0,55,-9.37,30.12,61.28,11.77
42,0,51,64.73,177.51,60.8,6.71
43,0,95,11.78,-72.45,82.25,22.28
